,movie_id,genre_id,genre,new_genre_id,new_movie_id
5245,4942,10749,Romance,11,2065
5246,1813,18,Drama,5,928
5247,1813,53,Thriller,6,928
5248,1813,27,Horror,12,928
5249,1813,9648,Mystery,13,928
5250,1722,18,Drama,5,880
5251,1722,10749,Romance,11,880
5252,1722,36,History,14,880
5253,13,18,Drama,5,6
5254,13,35,Comedy,10,6
5255,13,10749,Romance,11,6
5256,8488,18,Drama,5,166
5257,8488,35,Comedy,10,166
5258,8488,10749,Romance,11,166
5259,7303,18,Drama,5,2607
5260,7303,35,Comedy,10,2607
5261,7303,10749,Romance,11,2607
5262,1402,18,Drama,5,715
5263,9315,18,Drama,5,574
5264,9315,53,Thriller,6,574
5265,9315,9648,Mystery,13,574
5266,8818,18,Drama,5,332
5267,8818,36,History,14,332
5268,8818,10402,Music,16,332
5269,9566,18,Drama,5,700
5270,9566,53,Thriller,6,700
5271,9566,9648,Mystery,13,700
5272,9833,18,Drama,5,841
5273,9833,53,Thriller,6,841
5274,9833,10749,Romance,11,841
5275,4517,18,Drama,5,1911
5276,4517,10749,Romance,11,1911
5277,4517,36,History,14,1911
5278,16072,18,Drama,5,2362
5279,16072,36,History,14,2362
5280,16072,10752,War,15,2362
5281,42297,18,Drama,5,680
5282,42297,10749,Romance,11,680
